id,name,artist,artist_id,release_date,total_tracks,album_type,image_url,external_url,track_count,total_popularity,track_names,avg_track_popularity
6FED8aeieEnUWwQqAO9zT1,"Huncho Jack, Jack Huncho",Huncho Jack,6extd4B6hl8VTmnlhpl2bY,2017-12-21,13,album,https://i.scdn.co/image/ab67616d0000b273631973893e94d01cfcdf0e5e,https://open.spotify.com/album/6FED8aeieEnUWwQqAO9zT1,3,176,"Saint, Eye 2 Eye, Moon Rock",58.666666666666664
7gGJ9rNtigRF53dsFo48Wp,Welcome to O'Block,King Von,6QtgPSJPSzcnn7dPZ4VINp,2020-10-30,16,album,https://i.scdn.co/image/ab67616d0000b273429d4b3d9261b9ccc24d7d36,https://open.spotify.com/album/7gGJ9rNtigRF53dsFo48Wp,2,146,"Gleesh Place, Back Again (feat. Lil Durk)",73.0
7zezk3hbEWlOooKBLuLJKp,MegaTron 2,BabyTron,0sKsReKseslDlhxmbN6wLk,2023-10-27,28,album,https://i.scdn.co/image/ab67616d0000b2733f87ed11b6b6d524eea013cb,https://open.spotify.com/album/7zezk3hbEWlOooKBLuLJKp,2,101,"IRL, Down, Up!",50.5
1POWgdYTzfFt9rhKlXFwsU,Pink Heartz,SoFaygo,2SJhf6rTOU53g8yBdAjPby,2022-11-11,16,album,https://i.scdn.co/image/ab67616d0000b273f5d35bf91a2b5f0009b010d4,https://open.spotify.com/album/1POWgdYTzfFt9rhKlXFwsU,2,99,"Hell Yeah, Blitz V2",49.5
2Q2TRdT994vTzGE3Grmmht,Love Sick (Deluxe),Don Toliver,4Gso3d4CscCijv0lmajZWs,2023-02-28,20,album,https://i.scdn.co/image/ab67616d0000b273f5e27c2aa0b110c2b6611577,https://open.spotify.com/album/2Q2TRdT994vTzGE3Grmmht,1,90,No Pole,90.0
2DjfazR5N3TgXBQ7oVALA1,QUAVO HUNCHO,Quavo,0VRj0yCOv2FXJNP47XQnx5,2018-10-12,19,album,https://i.scdn.co/image/ab67616d0000b273a1fc738279f01eb8086fc44d,https://open.spotify.com/album/2DjfazR5N3TgXBQ7oVALA1,2,85,"HUNCHO DREAMS, GIVE IT TO EM (feat. Saweetie)",42.5
5gHs4xLkr2g66PRNsvSh83,BPL,D. Savage,6FqXAd1hQl7vVdIQ3hhtgc,2021-11-12,15,album,https://i.scdn.co/image/ab67616d0000b273022597a224e787f5d18a0f97,https://open.spotify.com/album/5gHs4xLkr2g66PRNsvSh83,2,82,"Stay Alert, Bring Me Down (feat. Matt Ox & K Suave)",41.0
12GZ5ewBjyylguigbdmqJ9,Yellow Tape,Key Glock,0RESbWvOMyua0yuyVrztJ5,2020-01-31,16,album,https://i.scdn.co/image/ab67616d0000b27377d6678d66fd48ecfed2cfe8,https://open.spotify.com/album/12GZ5ewBjyylguigbdmqJ9,1,75,Dough,75.0
3C3t2bKhwEL3wdKioqWUDh,TIMELESS,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,2024-06-07,21,album,https://i.scdn.co/image/ab67616d0000b2733d1996a2dc962e53e12cb7cb,https://open.spotify.com/album/3C3t2bKhwEL3wdKioqWUDh,1,73,Witchy (feat. Childish Gambino),73.0
3LByoNjO4gbuX5D0u26LDY,X (Expanded Edition),Chris Brown,7bXgB6jMjp9ATFy66eO08Z,2014-09-16,22,album,https://i.scdn.co/image/ab67616d0000b273d7a62d8635f92472d57d5f8d,https://open.spotify.com/album/3LByoNjO4gbuX5D0u26LDY,1,72,Don't Think They Know (feat. Aaliyah),72.0
0fUy6IdLHDpGNwavIlhEsl,DS2 (Deluxe),Future,1RyvyyTE3xzB2ZywiAwp0i,2015-07-17,19,album,https://i.scdn.co/image/ab67616d0000b273b2592bea12d840fd096ef965,https://open.spotify.com/album/0fUy6IdLHDpGNwavIlhEsl,1,67,Stick Talk,67.0
1ZCsPUZ7j9dTqjhU2I36tw,The Last Slimeto,YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b,2022-08-05,30,album,https://i.scdn.co/image/ab67616d0000b2738040b02e84bbe74b846286e8,https://open.spotify.com/album/1ZCsPUZ7j9dTqjhU2I36tw,1,67,Vette Motors,67.0
6tE9Dnp2zInFij4jKssysL,I NEVER LIKED YOU,Future,1RyvyyTE3xzB2ZywiAwp0i,2022-04-29,16,album,https://i.scdn.co/image/ab67616d0000b27386badd635b69aea887862214,https://open.spotify.com/album/6tE9Dnp2zInFij4jKssysL,1,67,MASSAGING ME,67.0
1F1JJHhqMo5DETJkesqGpG,Herstory in the Making,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,2019-09-27,21,album,https://i.scdn.co/image/ab67616d0000b2734fc7642b4b9dfc5088c45880,https://open.spotify.com/album/1F1JJHhqMo5DETJkesqGpG,1,66,BIG,66.0
7lrsfwcRiLCeWFM3u38DzB,Only Way Is Up (Deluxe),K CAMP,5bgfj5zUoWpyeVatGDjn6H,2014-09-04,16,album,https://i.scdn.co/image/ab67616d0000b27357be04ddc4e9f466b5c16fd9,https://open.spotify.com/album/7lrsfwcRiLCeWFM3u38DzB,1,65,Comfortable,65.0
